exposed_iso3,source_iso3,year,w_trade,covered_share
ARG,KOR,2019,0.011773,0.8329
ARG,AUS,2019,0.006724,0.8329
ARG,FRA,2019,0.010808,0.8329
ARG,NOR,2019,0.000578,0.8329
ARG,PER,2019,0.015023,0.8329
ARG,USA,2019,0.090889,0.8329
ARG,IND,2019,0.02595,0.8329
ARG,CAN,2019,0.008629,0.8329
ARG,TWN,2019,0.00392,0.8329
ARG,EGY,2019,0.009786,0.8329
ARG,CHN,2019,0.140726,0.8329
ARG,CHE,2019,0.018334,0.8329
ARG,TUR,2019,0.006491,0.8329
ARG,COL,2019,0.00978,0.8329
ARG,NLD,2019,0.019726,0.8329
ARG,MEX,2019,0.015712,0.8329
ARG,ZAF,2019,0.006448,0.8329
ARG,HKG,2019,0.002124,0.8329
ARG,SAU,2019,0.009862,0.8329
ARG,TUN,2019,0.001131,0.8329
ARG,ITA,2019,0.018634,0.8329
ARG,BEL,2019,0.005655,0.8329
ARG,ISR,2019,0.003225,0.8329
ARG,SWE,2019,0.003067,0.8329
ARG,PHL,2019,0.003611,0.8329
ARG,DNK,2019,0.003537,0.8329
ARG,JPN,2019,0.011801,0.8329
ARG,HUN,2019,0.001879,0.8329
ARG,FIN,2019,0.001141,0.8329
ARG,BRA,2019,0.179266,0.8329
ARG,VNM,2019,0.030328,0.8329
ARG,IDN,2019,0.016763,0.8329
ARG,GBR,2019,0.011516,0.8329
ARG,PRT,2019,0.001518,0.8329
ARG,VEN,2019,0.001114,0.8329
ARG,MYS,2019,0.010049,0.8329
ARG,DEU,2019,0.032454,0.8329
ARG,CHL,2019,0.031564,0.8329
ARG,UKR,2019,0.00048,0.8329
ARG,ESP,2019,0.021087,0.8329
ARG,THA,2019,0.015626,0.8329
ARG,RUS,2019,0.007799,0.8329
ARG,POL,2019,0.006407,0.8329
ARG,KOR,2021,0.016783,0.8257
ARG,AUS,2021,0.007296,0.8257
ARG,FRA,2021,0.010166,0.8257
ARG,NOR,2021,0.000651,0.8257
ARG,PER,2021,0.015585,0.8257
ARG,USA,2021,0.077363,0.8257
ARG,IND,2021,0.0403,0.8257
ARG,CAN,2021,0.008,0.8257
ARG,TWN,2021,0.00609,0.8257
ARG,EGY,2021,0.014957,0.8257
ARG,CHN,2021,0.139465,0.8257
ARG,CHE,2021,0.010536,0.8257
ARG,TUR,2021,0.006168,0.8257
ARG,COL,2021,0.010516,0.8257
ARG,NLD,2021,0.0263,0.8257
ARG,MEX,2021,0.014876,0.8257
ARG,ZAF,2021,0.004716,0.8257
ARG,HKG,2021,0.001067,0.8257
ARG,SAU,2021,0.008277,0.8257
ARG,TUN,2021,0.001264,0.8257
ARG,ITA,2021,0.016199,0.8257
ARG,BEL,2021,0.006288,0.8257
ARG,ISR,2021,0.003678,0.8257
ARG,SWE,2021,0.001918,0.8257
ARG,PHL,2021,0.003358,0.8257
ARG,DNK,2021,0.00234,0.8257
ARG,JPN,2021,0.013196,0.8257
ARG,HUN,2021,0.00202,0.8257
ARG,FIN,2021,0.001106,0.8257
ARG,BRA,2021,0.171196,0.8257
ARG,VNM,2021,0.031221,0.8257
ARG,IDN,2021,0.015884,0.8257
ARG,GBR,2021,0.009218,0.8257
ARG,PRT,2021,0.002194,0.8257
ARG,VEN,2021,0.001288,0.8257
ARG,MYS,2021,0.013855,0.8257
ARG,DEU,2021,0.023653,0.8257
ARG,CHL,2021,0.034727,0.8257
ARG,UKR,2021,0.000436,0.8257
ARG,ESP,2021,0.020779,0.8257
ARG,THA,2021,0.014068,0.8257
ARG,RUS,2021,0.00943,0.8257
ARG,POL,2021,0.007259,0.8257
ARG,KOR,2023,0.01319,0.8385
ARG,AUS,2023,0.006413,0.8385
ARG,FRA,2023,0.01024,0.8385
ARG,NOR,2023,0.000551,0.8385
ARG,PER,2023,0.019836,0.8385
ARG,USA,2023,0.10162,0.8385
ARG,IND,2023,0.027636,0.8385
ARG,CAN,2023,0.008607,0.8385
ARG,TWN,2023,0.00413,0.8385
ARG,EGY,2023,0.007707,0.8385
ARG,CHN,2023,0.139863,0.8385
ARG,CHE,2023,0.012392,0.8385
ARG,TUR,2023,0.006329,0.8385
ARG,COL,2023,0.011903,0.8385
ARG,NLD,2023,0.016097,0.8385
ARG,MEX,2023,0.017106,0.8385
ARG,ZAF,2023,0.002563,0.8385
ARG,HKG,2023,0.000819,0.8385
ARG,SAU,2023,0.007286,0.8385
ARG,TUN,2023,0.000687,0.8385
ARG,ITA,2023,0.018607,0.8385
ARG,BEL,2023,0.004713,0.8385
ARG,ISR,2023,0.003738,0.8385
ARG,SWE,2023,0.002653,0.8385
ARG,PHL,2023,0.003322,0.8385
ARG,DNK,2023,0.002028,0.8385
ARG,JPN,2023,0.013387,0.8385
ARG,HUN,2023,0.002141,0.8385
ARG,FIN,2023,0.001181,0.8385
ARG,BRA,2023,0.207485,0.8385
ARG,VNM,2023,0.024814,0.8385
ARG,IDN,2023,0.009312,0.8385
ARG,GBR,2023,0.008581,0.8385
ARG,PRT,2023,0.001523,0.8385
ARG,VEN,2023,0.001845,0.8385
ARG,MYS,2023,0.011071,0.8385
ARG,DEU,2023,0.02525,0.8385
ARG,CHL,2023,0.04038,0.8385
ARG,UKR,2023,0.000235,0.8385
ARG,ESP,2023,0.019232,0.8385
ARG,THA,2023,0.014711,0.8385
ARG,RUS,2023,0.002907,0.8385
ARG,POL,2023,0.004445,0.8385
AUS,KOR,2019,0.045686,0.7853
AUS,FRA,2019,0.010899,0.7853
AUS,NOR,2019,0.000977,0.7853
AUS,PER,2019,0.000354,0.7853
AUS,USA,2019,0.073,0.7853
AUS,IND,2019,0.025043,0.7853
AUS,CAN,2019,0.005642,0.7853
AUS,TWN,2019,0.020978,0.7853
AUS,EGY,2019,0.000634,0.7853
AUS,CHN,2019,0.295539,0.7853
AUS,CHE,2019,0.00776,0.7853
AUS,TUR,2019,0.002136,0.7853
AUS,COL,2019,0.000223,0.7853
AUS,NLD,2019,0.009169,0.7853
AUS,MEX,2019,0.004782,0.7853
AUS,ZAF,2019,0.003743,0.7853
AUS,HKG,2019,0.011359,0.7853
AUS,SAU,2019,0.001716,0.7853
AUS,TUN,2019,6.6e-05,0.7853
AUS,ITA,2019,0.011282,0.7853
AUS,BEL,2019,0.004571,0.7853
AUS,ISR,2019,0.001548,0.7853
AUS,SWE,2019,0.003699,0.7853
AUS,PHL,2019,0.004924,0.7853
AUS,DNK,2019,0.00215,0.7853
AUS,ARG,2019,0.001341,0.7853
AUS,JPN,2019,0.080975,0.7853
AUS,HUN,2019,0.001206,0.7853
AUS,FIN,2019,0.002022,0.7853
AUS,BRA,2019,0.002676,0.7853
AUS,VNM,2019,0.017151,0.7853
AUS,IDN,2019,0.014795,0.7853
AUS,GBR,2019,0.031888,0.7853
AUS,PRT,2019,0.000437,0.7853
AUS,VEN,2019,1e-05,0.7853
AUS,MYS,2019,0.024985,0.7853
AUS,DEU,2019,0.024713,0.7853
AUS,CHL,2019,0.001276,0.7853
AUS,UKR,2019,0.000236,0.7853
AUS,ESP,2019,0.003812,0.7853
AUS,THA,2019,0.026374,0.7853
AUS,RUS,2019,0.000925,0.7853
AUS,POL,2019,0.002557,0.7853
AUS,KOR,2021,0.053126,0.7889
AUS,FRA,2021,0.00994,0.7889
AUS,NOR,2021,0.000714,0.7889
AUS,PER,2021,0.000434,0.7889
AUS,USA,2021,0.062351,0.7889
AUS,IND,2021,0.033122,0.7889
AUS,CAN,2021,0.004905,0.7889
AUS,TWN,2021,0.022875,0.7889
AUS,EGY,2021,0.000748,0.7889
AUS,CHN,2021,0.314231,0.7889
AUS,CHE,2021,0.006923,0.7889
AUS,TUR,2021,0.003097,0.7889
AUS,COL,2021,0.000263,0.7889
AUS,NLD,2021,0.008966,0.7889
AUS,MEX,2021,0.004857,0.7889
AUS,ZAF,2021,0.002901,0.7889
AUS,HKG,2021,0.00869,0.7889
AUS,SAU,2021,0.003219,0.7889
AUS,TUN,2021,7.4e-05,0.7889
AUS,ITA,2021,0.01096,0.7889
AUS,BEL,2021,0.00574,0.7889
AUS,ISR,2021,0.001323,0.7889
AUS,SWE,2021,0.003302,0.7889
AUS,PHL,2021,0.004047,0.7889
AUS,DNK,2021,0.002123,0.7889
AUS,ARG,2021,0.001357,0.7889
AUS,JPN,2021,0.076369,0.7889
AUS,HUN,2021,0.001129,0.7889
AUS,FIN,2021,0.002126,0.7889
AUS,BRA,2021,0.003352,0.7889
AUS,VNM,2021,0.020514,0.7889
AUS,IDN,2021,0.017812,0.7889
AUS,GBR,2021,0.014929,0.7889
AUS,PRT,2021,0.000567,0.7889
AUS,VEN,2021,1.5e-05,0.7889
AUS,MYS,2021,0.024051,0.7889
AUS,DEU,2021,0.021428,0.7889
AUS,CHL,2021,0.001482,0.7889
AUS,UKR,2021,0.000349,0.7889
AUS,ESP,2021,0.0047,0.7889
AUS,THA,2021,0.026169,0.7889
AUS,RUS,2021,0.000936,0.7889
AUS,POL,2021,0.002639,0.7889
AUS,KOR,2023,0.059354,0.795
AUS,FRA,2023,0.010096,0.795
AUS,NOR,2023,0.000751,0.795
AUS,PER,2023,0.000336,0.795
AUS,USA,2023,0.068598,0.795
AUS,IND,2023,0.034126,0.795
AUS,CAN,2023,0.006706,0.795
AUS,TWN,2023,0.024495,0.795
AUS,EGY,2023,0.000801,0.795
AUS,CHN,2023,0.292256,0.795
AUS,CHE,2023,0.006871,0.795
AUS,TUR,2023,0.002814,0.795
AUS,COL,2023,0.000223,0.795
AUS,NLD,2023,0.008627,0.795
AUS,MEX,2023,0.005526,0.795
AUS,ZAF,2023,0.003375,0.795
AUS,HKG,2023,0.010811,0.795
AUS,SAU,2023,0.002271,0.795
AUS,TUN,2023,0.000102,0.795
AUS,ITA,2023,0.01101,0.795
AUS,BEL,2023,0.005141,0.795
AUS,ISR,2023,0.001117,0.795
AUS,SWE,2023,0.003454,0.795
AUS,PHL,2023,0.004506,0.795
AUS,DNK,2023,0.002245,0.795
AUS,ARG,2023,0.001211,0.795
AUS,JPN,2023,0.082635,0.795
AUS,HUN,2023,0.001152,0.795
AUS,FIN,2023,0.002037,0.795
AUS,BRA,2023,0.003503,0.795
AUS,VNM,2023,0.021887,0.795
AUS,IDN,2023,0.017202,0.795
AUS,GBR,2023,0.014259,0.795
AUS,PRT,2023,0.000674,0.795
AUS,VEN,2023,9e-06,0.795
AUS,MYS,2023,0.028195,0.795
AUS,DEU,2023,0.021956,0.795
AUS,CHL,2023,0.001069,0.795
AUS,UKR,2023,0.000137,0.795
AUS,ESP,2023,0.004204,0.795
AUS,THA,2023,0.026678,0.795
AUS,RUS,2023,1.7e-05,0.795
