exposed_iso3,source_iso3,year,channel,w,covered_share
ARG,UKR,2019,va,0.000617,0.8617
ARG,SWE,2019,va,0.008765,0.8617
ARG,JPN,2019,va,0.023971,0.8617
ARG,SAU,2019,va,0.007317,0.8617
ARG,EGY,2019,va,0.003146,0.8617
ARG,GBR,2019,va,0.021151,0.8617
ARG,MEX,2019,va,0.018183,0.8617
ARG,NLD,2019,va,0.012657,0.8617
ARG,BEL,2019,va,0.006221,0.8617
ARG,PER,2019,va,0.003766,0.8617
ARG,MYS,2019,va,0.004966,0.8617
ARG,IND,2019,va,0.019651,0.8617
ARG,PRT,2019,va,0.002671,0.8617
ARG,POL,2019,va,0.005548,0.8617
ARG,ISR,2019,va,0.00477,0.8617
ARG,CHL,2019,va,0.012246,0.8617
ARG,COL,2019,va,0.004395,0.8617
ARG,IDN,2019,va,0.006227,0.8617
ARG,CHE,2019,va,0.013328,0.8617
ARG,TUR,2019,va,0.007168,0.8617
ARG,DEU,2019,va,0.057747,0.8617
ARG,TWN,2019,va,0.007953,0.8617
ARG,KOR,2019,va,0.014726,0.8617
ARG,CHN,2019,va,0.142132,0.8617
ARG,BRA,2019,va,0.117697,0.8617
ARG,USA,2019,va,0.176529,0.8617
ARG,ESP,2019,va,0.024353,0.8617
ARG,HUN,2019,va,0.002533,0.8617
ARG,CAN,2019,va,0.014562,0.8617
ARG,TUN,2019,va,0.000336,0.8617
ARG,ZAF,2019,va,0.00319,0.8617
ARG,THA,2019,va,0.015766,0.8617
ARG,HKG,2019,va,0.002129,0.8617
ARG,PHL,2019,va,0.003254,0.8617
ARG,AUS,2019,va,0.008176,0.8617
ARG,VNM,2019,va,0.006583,0.8617
ARG,RUS,2019,va,0.011766,0.8617
ARG,ITA,2019,va,0.02576,0.8617
ARG,NOR,2019,va,0.004464,0.8617
ARG,FRA,2019,va,0.025839,0.8617
ARG,FIN,2019,va,0.004176,0.8617
ARG,DNK,2019,va,0.005303,0.8617
ARG,EGY,2021,va,0.007073,0.8615
ARG,GBR,2021,va,0.015879,0.8615
ARG,JPN,2021,va,0.023997,0.8615
ARG,AUS,2021,va,0.009704,0.8615
ARG,VNM,2021,va,0.008159,0.8615
ARG,TUN,2021,va,0.00029,0.8615
ARG,SAU,2021,va,0.010175,0.8615
ARG,RUS,2021,va,0.014113,0.8615
ARG,HKG,2021,va,0.000844,0.8615
ARG,CHE,2021,va,0.01332,0.8615
ARG,THA,2021,va,0.014468,0.8615
ARG,MYS,2021,va,0.004512,0.8615
ARG,ESP,2021,va,0.018739,0.8615
ARG,KOR,2021,va,0.015176,0.8615
ARG,FRA,2021,va,0.022632,0.8615
ARG,COL,2021,va,0.00538,0.8615
ARG,ZAF,2021,va,0.004225,0.8615
ARG,IDN,2021,va,0.006565,0.8615
ARG,IND,2021,va,0.023445,0.8615
ARG,BRA,2021,va,0.134612,0.8615
ARG,HUN,2021,va,0.002569,0.8615
ARG,USA,2021,va,0.130862,0.8615
ARG,ITA,2021,va,0.022746,0.8615
ARG,DNK,2021,va,0.004719,0.8615
ARG,FIN,2021,va,0.003597,0.8615
ARG,SWE,2021,va,0.006675,0.8615
ARG,TUR,2021,va,0.006509,0.8615
ARG,POL,2021,va,0.004843,0.8615
ARG,NLD,2021,va,0.0121,0.8615
ARG,DEU,2021,va,0.045464,0.8615
ARG,BEL,2021,va,0.00652,0.8615
ARG,CAN,2021,va,0.01143,0.8615
ARG,UKR,2021,va,0.000658,0.8615
ARG,PHL,2021,va,0.00248,0.8615
ARG,PER,2021,va,0.004354,0.8615
ARG,MEX,2021,va,0.017044,0.8615
ARG,NOR,2021,va,0.004305,0.8615
ARG,PRT,2021,va,0.002469,0.8615
ARG,ISR,2021,va,0.004619,0.8615
ARG,CHL,2021,va,0.011607,0.8615
ARG,TWN,2021,va,0.010577,0.8615
ARG,CHN,2021,va,0.192044,0.8615
ARG,SAU,2022,va,0.021352,0.8551
ARG,PER,2022,va,0.004429,0.8551
ARG,CHL,2022,va,0.010019,0.8551
ARG,VNM,2022,va,0.006805,0.8551
ARG,IND,2022,va,0.023373,0.8551
ARG,HKG,2022,va,0.000854,0.8551
ARG,CHN,2022,va,0.173079,0.8551
ARG,USA,2022,va,0.155351,0.8551
ARG,TUR,2022,va,0.007382,0.8551
ARG,JPN,2022,va,0.019113,0.8551
ARG,ISR,2022,va,0.005059,0.8551
ARG,DNK,2022,va,0.005715,0.8551
ARG,MYS,2022,va,0.003997,0.8551
ARG,ESP,2022,va,0.020631,0.8551
ARG,FRA,2022,va,0.021709,0.8551
ARG,COL,2022,va,0.006006,0.8551
ARG,SWE,2022,va,0.006379,0.8551
ARG,TUN,2022,va,0.000321,0.8551
ARG,UKR,2022,va,0.000366,0.8551
ARG,RUS,2022,va,0.011667,0.8551
ARG,PHL,2022,va,0.002352,0.8551
ARG,BRA,2022,va,0.13027,0.8551
ARG,GBR,2022,va,0.017395,0.8551
ARG,HUN,2022,va,0.002062,0.8551
ARG,FIN,2022,va,0.004322,0.8551
ARG,CAN,2022,va,0.013411,0.8551
ARG,BEL,2022,va,0.005984,0.8551
ARG,EGY,2022,va,0.004302,0.8551
ARG,AUS,2022,va,0.010424,0.8551
ARG,THA,2022,va,0.012227,0.8551
ARG,CHE,2022,va,0.012803,0.8551
ARG,PRT,2022,va,0.002896,0.8551
ARG,IDN,2022,va,0.006782,0.8551
ARG,NOR,2022,va,0.007852,0.8551
ARG,ZAF,2022,va,0.003194,0.8551
ARG,TWN,2022,va,0.008988,0.8551
ARG,POL,2022,va,0.004388,0.8551
ARG,NLD,2022,va,0.011398,0.8551
ARG,KOR,2022,va,0.012201,0.8551
ARG,MEX,2022,va,0.016831,0.8551
ARG,ITA,2022,va,0.020989,0.8551
ARG,DEU,2022,va,0.040437,0.8551
AUS,TUN,2019,va,0.000305,0.8424
AUS,RUS,2019,va,0.007877,0.8424
AUS,PER,2019,va,0.001429,0.8424
AUS,MYS,2019,va,0.017726,0.8424
AUS,SWE,2019,va,0.007012,0.8424
AUS,TUR,2019,va,0.005997,0.8424
AUS,KOR,2019,va,0.025278,0.8424
AUS,PHL,2019,va,0.004763,0.8424
AUS,IDN,2019,va,0.015836,0.8424
AUS,DNK,2019,va,0.005095,0.8424
AUS,HUN,2019,va,0.001914,0.8424
AUS,ZAF,2019,va,0.003969,0.8424
AUS,THA,2019,va,0.033138,0.8424
AUS,USA,2019,va,0.146499,0.8424
AUS,NOR,2019,va,0.003927,0.8424
AUS,DEU,2019,va,0.047063,0.8424
AUS,CHL,2019,va,0.00259,0.8424
AUS,CAN,2019,va,0.012418,0.8424
AUS,TWN,2019,va,0.016169,0.8424
AUS,ESP,2019,va,0.013437,0.8424
AUS,GBR,2019,va,0.03607,0.8424
AUS,ISR,2019,va,0.004234,0.8424
AUS,UKR,2019,va,0.000573,0.8424
AUS,SAU,2019,va,0.009817,0.8424
AUS,EGY,2019,va,0.001509,0.8424
AUS,IND,2019,va,0.02061,0.8424
AUS,CHN,2019,va,0.208103,0.8424
AUS,BRA,2019,va,0.004727,0.8424
AUS,PRT,2019,va,0.002334,0.8424
AUS,POL,2019,va,0.004953,0.8424
AUS,MEX,2019,va,0.009688,0.8424
AUS,FRA,2019,va,0.024611,0.8424
AUS,FIN,2019,va,0.003585,0.8424
AUS,COL,2019,va,0.000942,0.8424
AUS,VNM,2019,va,0.011874,0.8424
AUS,HKG,2019,va,0.005986,0.8424
AUS,CHE,2019,va,0.014325,0.8424
AUS,NLD,2019,va,0.013799,0.8424
AUS,BEL,2019,va,0.005246,0.8424
AUS,ARG,2019,va,0.003063,0.8424
AUS,JPN,2019,va,0.060373,0.8424
AUS,ITA,2019,va,0.023554,0.8424
AUS,THA,2021,va,0.02764,0.854
AUS,HKG,2021,va,0.003563,0.854
